fecha,salon,mostrador,domicilio,otros,total,cub,promedio,ventas,prom_vtas,acumulado
"Mie 16/11/22",0.00,16310.00,89790.00,0.00,106100.00,0,0.00,23,4613.04,106100.00
"Jue 17/11/22",0.00,9120.00,138450.00,0.00,147570.00,0,0.00,29,5088.62,147570.00
"Vie 18/11/22",0.00,16060.00,300590.00,0.00,316650.00,0,0.00,64,4947.66,316650.00
"Sab 19/11/22",0.00,13030.00,285710.00,0.00,298740.00,0,0.00,59,5063.39,298740.00
"Dom 20/11/22",0.00,8630.00,197350.00,0.00,205980.00,0,0.00,37,5567.03,205980.00
"Mie 23/11/22",0.00,27090.00,150860.00,0.00,177950.00,0,0.00,32,5560.94,177950.00
"Jue 24/11/22",0.00,24210.00,151330.00,0.00,175540.00,0,0.00,37,4744.32,175540.00
"Vie 25/11/22",0.00,29900.00,235530.00,0.00,265430.00,0,0.00,56,4739.82,265430.00
"Sab 26/11/22",0.00,28260.00,229040.00,0.00,257300.00,0,0.00,54,4764.81,257300.00
"Mar 29/11/22",0.00,33079.00,191332.00,0.00,224411.00,0,0.00,42,5343.12,224411.00
"Mie 30/11/22",0.00,5900.00,130220.00,0.00,136120.00,0,0.00,22,6187.27,136120.00
"Jue 01/12/22",0.00,19610.00,185630.00,0.00,205240.00,0,0.00,40,5131.00,205240.00
"Vie 02/12/22",0.00,43420.00,314202.00,0.00,357622.00,0,0.00,65,5501.88,357622.00
"Sab 03/12/22",0.00,15940.00,162960.00,0.00,178900.00,0,0.00,37,4835.14,178900.00
"Mar 06/12/22",0.00,7960.00,269915.00,0.00,277875.00,0,0.00,52,5343.75,277875.00
"Mie 07/12/22",0.00,17100.00,196710.00,0.00,213810.00,0,0.00,37,5778.65,213810.00
"Jue 08/12/22",0.00,18390.00,190970.00,0.00,209360.00,0,0.00,37,5658.38,209360.00
"Vie 09/12/22",0.00,22830.00,206800.00,0.00,229630.00,0,0.00,38,6042.89,229630.00
"Sab 10/12/22",0.00,16600.00,234950.00,0.00,251550.00,0,0.00,48,5240.63,251550.00
